公開日,動画ID,企業名,証券コード,動画タイトル,長さ秒,視聴回数,公開日視聴回数,公開後3日視聴回数,公開後7日視聴回数,総再生時間_時間,平均視聴時間,平均視聴率_%,インプレッション数,CTR_%,チャンネル登録者増減,主テーマ,テーマタグ,フック型
2026-04-18,6irjGxFpmj4,キオクシア,,キオクシア 285A final video,526,214,0,0,0,10.83,0:03:02,34.6,3533,4.9,0,その他,その他,企業変化・深掘り
2026-04-17,RR9mLs5RgtA,バトンズ,,【新規上場】バトンズ：極小需給とロックアップの罠。上場半年後の暴落リスクと投資戦略【Stock Arena】,613,222,0,0,0,8.7453,0:02:21,23.0,5055,2.55,0,資本政策・M&A・ガバナンス,資本政策・M&A・ガバナンス,矛盾・逆説
2026-04-17,744vAmBXikY,テクノホライゾン,,テクノホライゾンの深層：エッジAIで株価急騰。裏で進行する「巨額評価損」と信用買い残の恐怖,492,404,0,0,0,17.9726,0:02:40,32.5,4378,6.33,5,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-04-16,VYcynJqnsyU,ウェルディッシュ,,監理銘柄ウェルディッシュの深層：M&A急拡大の果てに待つ「ガバナンス崩壊」とパニック売りの行方,618,553,0,0,0,24.7319,0:02:41,26.1,8448,4.11,1,資本政策・M&A・ガバナンス,資本政策・M&A・ガバナンス,企業変化・深掘り
2026-04-16,4sxqdyUBRsI,ダイキン,,【ダイキン】エリオット介入で株価急騰！売上4兆円の裏に潜む「利益率8.5%の罠」と改革の行方,638,228,0,0,0,12.7933,0:03:22,31.7,3080,5.13,0,資本政策・M&A・ガバナンス,資本政策・M&A・ガバナンス,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-04-15,EPazhvJ7Jd0,KLab,,KLabの深層：スクエニ共同開発の熱狂と、上値を潰す「新株予約権」の罠,640,131,0,0,0,3.836,0:01:45,16.4,4115,1.68,0,SaaS・IT・DX,SaaS・IT・DX | 資本政策・M&A・ガバナンス,矛盾・逆説
2026-04-15,XD8tgLIwHvQ,note,,ノート（note）：決算後の15%急落。PER60倍の現実と「適正株価」のシナリオ,635,191,0,0,0,9.5663,0:03:00,28.3,2596,4.78,0,SaaS・IT・DX,SaaS・IT・DX,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-04-14,y5HbBNKzJ0c,ベイカレント,,【高決算】ベイカレント：PER15倍の真実。圧倒的成長の裏で進行する「労働集約の限界」とは？,674,195,0,0,0,7.3192,0:02:15,20.0,6295,2.02,0,その他,その他,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-04-14,NH01AGqUk98,インフォメティス,,インフォメティス：AIインフラの熱狂と「売上半減・資金枯渇」の現実。現在の株価は適正か？,593,343,0,0,0,17.3072,0:03:01,30.5,4051,5.26,3,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説
2026-04-13,BvnWdTTwSys,QDレーザ,6613,【QDレーザ(6613)】AIデータセンター需要で高PERの狂乱。光電融合の夢と「土建屋構造」の罠を徹底解剖【Stock Arena】,835,2284,0,0,0,194.6709,0:05:06,36.6,21987,7.42,23,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-04-13,kWtTpnW-uW0,電通グループ,,【電通グループ】旧村上ファンド保有で株価急騰の罠。崩壊する業績と「狂乱の需給」を徹底解剖,1171,278,0,0,0,21.3641,0:04:36,23.6,1788,8.33,1,資本政策・M&A・ガバナンス,資本政策・M&A・ガバナンス,矛盾・逆説 × 急騰・需給
2026-04-13,xEkmwt0UHYs,京進,4735,京進（4735）の記念配当と、教育ビジネスが抱える「構造的リスク」,977,14,0,0,0,0.5897,0:02:31,15.5,554,0.36,0,消費・IP・小売,消費・IP・小売,矛盾・逆説
2026-04-12,Klivqn7VoxY,TSIホールディングス,,TSIホールディングス 利益2.6倍と「70円増配」の衝撃。絶好調の決算とアパレル特有の「固定費の壁」を徹底解剖【Stock Arena】,1125,138,0,0,0,9.2488,0:04:01,21.4,1628,6.51,1,消費・IP・小売,消費・IP・小売,業績サプライズ
2026-04-12,pphVqANkxtE,ホームポジション,2999,ホームポジション(2999) 経常利益3.9倍の衝撃。通期計画を超過したのに「上方修正」が見送られた謎を徹底解剖【Stock Arena】,1179,35,0,0,0,1.3158,0:02:15,11.5,1308,1.61,0,その他,その他,業績サプライズ
2026-04-11,GNVK5JQjXos,バリュエンス,9270,バリュエンス（9270）株価急騰の罠。絶好調の裏に潜む「会計上の爆弾」を徹底解剖【Stock Arena】,858,132,0,0,0,5.279,0:02:23,16.7,2028,2.86,2,その他,その他,矛盾・逆説 × 急騰・需給
2026-04-11,7sIU7b-5vCA,ユニチカ,3103,【ユニチカ 3103】7倍暴騰はイナゴの錯覚。PER43倍の砂上の楼閣が崩壊する「Xデー」の真実,1212,612,0,0,0,40.9666,0:04:00,19.8,5646,8.2,2,その他,その他,急騰・需給 × バリュエーション・需給
